City_ID,City,Country,Date,Lat,Lng,Weather,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sorong,ID,2022-03-02 19:49:04,-0.8833,131.25,Light Rain,80.29,79,100,2.8
1,Batemans Bay,AU,2022-03-02 19:49:05,-35.7167,150.1833,Light Rain,68.2,92,98,10.89
2,Roald,NO,2022-03-02 19:49:05,62.5833,6.1333,Broken Clouds,39.33,100,75,3.44
3,San Cristobal,VE,2022-03-02 19:49:06,7.7669,-72.225,Broken Clouds,78.98,39,65,5.46
4,Pochutla,MX,2022-03-02 19:49:07,15.7432,-96.4661,Clear Sky,88.83,43,3,10.29
5,Chokurdakh,RU,2022-03-02 19:49:07,70.6333,147.9167,Scattered Clouds,-28.25,100,42,2.15
6,Cape Town,ZA,2022-03-02 19:49:08,-33.9258,18.4232,Few Clouds,70.12,87,20,8.05
7,Kapaa,US,2022-03-02 19:49:08,22.0752,-159.319,Clear Sky,76.48,77,0,6.91
8,Vaini,TO,2022-03-02 19:49:09,-21.2,-175.2,Broken Clouds,75.36,100,75,3.44
9,Atuona,PF,2022-03-02 19:44:24,-9.8,-139.0333,Light Rain,78.19,80,22,19.06
10,Upata,VE,2022-03-02 19:49:10,8.0086,-62.3989,Few Clouds,82.18,40,15,5.53
11,San Quintin,MX,2022-03-02 19:49:11,30.4833,-115.95,Overcast Clouds,70.52,37,94,8.52
12,Hermanus,ZA,2022-03-02 19:49:12,-34.4187,19.2345,Clear Sky,69.91,83,0,13.76
13,Kroya,ID,2022-03-02 19:49:12,-7.6331,109.2461,Overcast Clouds,76.03,88,98,3.06
14,Husavik,IS,2022-03-02 19:49:13,66.0449,-17.3389,Overcast Clouds,42.71,91,100,25.5
15,Ushuaia,AR,2022-03-02 19:49:13,-54.8,-68.3,Broken Clouds,53.26,50,75,14.97
16,Albany,US,2022-03-02 19:45:07,42.6001,-73.9662,Overcast Clouds,39.63,56,98,3.0
17,Luganville,VU,2022-03-02 19:49:14,-15.5333,167.1667,Overcast Clouds,76.8,88,99,2.68
18,Tayoltita,MX,2022-03-02 19:49:15,24.0833,-105.9333,Overcast Clouds,85.89,13,100,7.81
19,Guerrero Negro,MX,2022-03-02 19:49:15,27.9769,-114.0611,Overcast Clouds,75.24,30,98,7.9
20,Jasper,US,2022-03-02 19:48:17,37.2001,-94.3502,Clear Sky,77.05,15,0,19.57
21,Shirokiy,RU,2022-03-02 19:49:16,49.758,129.523,Few Clouds,-11.11,100,12,4.36
22,Avarua,CK,2022-03-02 19:46:58,-21.2078,-159.775,Few Clouds,84.25,79,20,10.36
23,Malaya Purga,RU,2022-03-02 19:49:17,56.5567,53.0043,Overcast Clouds,8.17,100,94,4.54
24,Saskylakh,RU,2022-03-02 19:49:17,71.9167,114.0833,Overcast Clouds,-30.26,100,88,4.97
25,Torbay,CA,2022-03-02 19:45:13,47.6666,-52.7314,Overcast Clouds,31.28,75,100,19.57
26,Fortuna,US,2022-03-02 19:49:19,40.5982,-124.1573,Broken Clouds,65.93,73,75,3.0
27,Rikitea,PF,2022-03-02 19:49:19,-23.1203,-134.9692,Light Rain,79.2,71,15,17.34
28,Jinka,ET,2022-03-02 19:49:20,5.65,36.65,Light Rain,72.75,47,89,1.63
29,Mahebourg,MU,2022-03-02 19:49:20,-20.4081,57.7,Broken Clouds,80.89,89,75,12.66
30,Berga,NO,2022-03-02 19:49:21,60.392,5.328,Broken Clouds,41.65,92,75,4.61
31,Airai,TL,2022-03-02 19:49:22,-8.9266,125.4092,Few Clouds,60.42,87,14,1.95
32,College,US,2022-03-02 19:49:22,64.8569,-147.8028,Fog,14.07,84,40,0.0
33,Havre,FR,2022-03-02 19:49:23,49.5833,0.3333,Clear Sky,51.57,62,0,5.75
34,Georgetown,MY,2022-03-02 19:47:27,5.4112,100.3354,Scattered Clouds,78.73,93,40,3.44
35,Cherskiy,RU,2022-03-02 19:49:24,68.75,161.3,Broken Clouds,-24.84,100,65,2.24
36,Marshall,US,2022-03-02 19:49:24,34.3834,-86.3333,Clear Sky,76.21,29,0,7.0
37,Pozo Colorado,PY,2022-03-02 19:49:25,-23.4923,-58.7972,Overcast Clouds,91.47,52,100,8.86
38,Bluff,NZ,2022-03-02 19:49:25,-46.6,168.3333,Overcast Clouds,43.81,79,100,3.83
39,Axim,GH,2022-03-02 19:49:26,4.8699,-2.2405,Light Rain,79.95,85,22,4.59
40,Cidreira,BR,2022-03-02 19:49:26,-30.1811,-50.2056,Few Clouds,78.15,81,13,10.74
41,Carnarvon,AU,2022-03-02 19:49:26,-24.8667,113.6333,Clear Sky,68.07,60,0,24.16
42,Busselton,AU,2022-03-02 19:49:27,-33.65,115.3333,Scattered Clouds,48.09,70,31,5.68
43,Hithadhoo,MV,2022-03-02 19:50:27,-0.6,73.0833,Scattered Clouds,84.69,66,47,9.89
44,Lasa,IT,2022-03-02 19:50:28,46.6166,10.7002,Overcast Clouds,43.68,78,99,4.76
45,Saldanha,ZA,2022-03-02 19:50:29,-33.0117,17.9442,Clear Sky,69.85,92,1,3.65
46,East London,ZA,2022-03-02 19:49:26,-33.0153,27.9116,Overcast Clouds,73.6,78,100,13.06
47,Yellowknife,CA,2022-03-02 19:50:29,62.456,-114.3525,Clear Sky,0.41,62,0,0.0
48,Aginskoye,RU,2022-03-02 19:50:30,51.1,114.53,Overcast Clouds,-2.36,97,97,1.57
49,Flin Flon,CA,2022-03-02 19:50:30,54.7682,-101.865,Clear Sky,-0.56,46,0,9.22
50,Kahului,US,2022-03-02 19:50:31,20.8947,-156.47,Scattered Clouds,80.83,69,40,5.01
51,Hervey Bay,AU,2022-03-02 19:50:31,-25.2986,152.8535,Scattered Clouds,82.51,96,31,5.99
52,Tommot,RU,2022-03-02 19:50:31,58.9564,126.2925,Broken Clouds,-15.5,99,84,2.75
53,Sorland,NO,2022-03-02 19:50:32,67.667,12.6934,Overcast Clouds,37.26,58,98,18.66
54,Belyy Yar,RU,2022-03-02 19:50:32,53.6039,91.3903,Light Shower Snow,21.09,73,40,2.24
55,Beyneu,KZ,2022-03-02 19:50:33,45.3167,55.2,Broken Clouds,44.33,70,80,10.16
56,Sitka,US,2022-03-02 19:50:34,57.0531,-135.33,Overcast Clouds,40.89,81,100,9.22
57,Mataura,NZ,2022-03-02 19:50:34,-46.1927,168.8643,Overcast Clouds,43.48,76,97,0.96
58,Faanui,PF,2022-03-02 19:50:34,-16.4833,-151.75,Few Clouds,81.86,69,18,18.84
59,Alta Floresta,BR,2022-03-02 19:50:35,-9.8756,-56.0861,Few Clouds,89.42,55,20,5.75
60,Punta Arenas,CL,2022-03-02 19:48:19,-53.15,-70.9167,Overcast Clouds,50.11,81,100,11.5
61,Arraial Do Cabo,BR,2022-03-02 19:50:36,-22.9661,-42.0278,Clear Sky,91.36,58,0,19.57
62,Teahupoo,PF,2022-03-02 19:50:36,-17.8333,-149.2667,Light Rain,78.76,75,38,19.62
63,Maceio,BR,2022-03-02 19:50:36,-9.6658,-35.7353,Scattered Clouds,85.44,65,40,13.8
64,Khani,GE,2022-03-02 19:50:37,41.9563,42.9566,Overcast Clouds,44.17,81,100,4.05
65,Karratha,AU,2022-03-02 19:50:38,-20.7377,116.8463,Broken Clouds,87.15,65,55,5.46
66,Poya,NC,2022-03-02 19:50:38,-21.35,165.15,Overcast Clouds,78.4,86,89,3.36
67,Ichinohe,JP,2022-03-02 19:50:38,40.2069,141.3017,Few Clouds,23.85,93,21,5.77
68,Tigzirt,DZ,2022-03-02 19:50:39,36.8886,4.1198,Clear Sky,52.63,60,5,4.97
69,Salalah,OM,2022-03-02 19:50:40,17.0151,54.0924,Clear Sky,73.63,62,4,0.81
70,Fare,PF,2022-03-02 19:50:40,-16.7,-151.0167,Light Rain,80.96,75,46,16.96
71,Coihaique,CL,2022-03-02 19:50:41,-45.5752,-72.0662,Broken Clouds,70.41,68,75,4.61
72,Qaanaaq,GL,2022-03-02 19:50:41,77.484,-69.3632,Clear Sky,4.19,54,8,8.46
73,Tiksi,RU,2022-03-02 19:50:42,71.6872,128.8694,Broken Clouds,-24.09,100,79,1.57
74,Warrnambool,AU,2022-03-02 19:50:43,-38.3833,142.4833,Clear Sky,63.36,91,0,8.08
75,Clyde River,CA,2022-03-02 19:50:43,70.4692,-68.5914,Light Snow,7.03,85,100,24.16
76,Mahajanga,MG,2022-03-02 19:50:43,-15.7167,46.3167,Few Clouds,82.42,74,20,8.05
77,Tasiilaq,GL,2022-03-02 19:50:44,65.6145,-37.6368,Overcast Clouds,26.49,76,100,30.6
78,Lebu,CL,2022-03-02 19:50:44,-37.6167,-73.65,Clear Sky,64.58,82,7,20.09
79,Spasskoye,RU,2022-03-02 19:50:45,44.6108,132.7969,Overcast Clouds,19.42,89,100,8.41
80,Vila Franca Do Campo,PT,2022-03-02 19:50:45,37.7167,-25.4333,Overcast Clouds,59.2,75,86,9.89
81,Khatanga,RU,2022-03-02 19:50:46,71.9667,102.5,Overcast Clouds,-0.22,88,100,8.61
82,Hilo,US,2022-03-02 19:50:46,19.7297,-155.09,Few Clouds,79.79,69,20,5.01
83,Gizo,SB,2022-03-02 19:50:47,-8.103,156.8419,Moderate Rain,78.67,86,100,9.1
84,Kutum,SD,2022-03-02 19:50:47,14.2,24.6667,Overcast Clouds,76.32,13,95,6.44
85,Port-Gentil,GA,2022-03-02 19:50:47,-0.7193,8.7815,Scattered Clouds,84.16,79,40,8.05
86,Hobart,AU,2022-03-02 19:50:48,-42.8794,147.3294,Scattered Clouds,64.26,86,40,4.61
87,Imamoglu,TR,2022-03-02 19:50:48,37.2651,35.6572,Light Rain,55.11,97,100,8.3
88,Severo-Kurilsk,RU,2022-03-02 19:51:49,50.6789,156.125,Light Snow,24.71,65,95,23.47
89,Imeni Poliny Osipenko,RU,2022-03-02 19:51:49,52.4201,136.4853,Broken Clouds,-21.98,100,73,0.45
90,Mount Isa,AU,2022-03-02 19:51:50,-20.7333,139.5,Clear Sky,65.97,48,6,0.0
91,Dewas,IN,2022-03-02 19:51:50,22.9667,76.0667,Clear Sky,66.38,28,3,4.74
92,Klaksvik,FO,2022-03-02 19:51:51,62.2266,-6.589,Overcast Clouds,41.92,81,99,32.46
93,Bilibino,RU,2022-03-02 19:51:51,68.0546,166.4372,Broken Clouds,-13.43,100,65,4.05
94,Norman Wells,CA,2022-03-02 19:49:14,65.282,-126.8329,Broken Clouds,5.04,66,75,18.41
95,Neiafu,TO,2022-03-02 19:51:52,-18.65,-173.9833,Broken Clouds,79.48,94,75,0.0
96,Garowe,SO,2022-03-02 19:51:52,8.4054,48.4845,Clear Sky,70.45,60,1,11.81
97,New Norfolk,AU,2022-03-02 19:51:53,-42.7826,147.0587,Scattered Clouds,63.9,76,32,1.74
98,Touros,BR,2022-03-02 19:51:53,-5.1989,-35.4608,Broken Clouds,88.7,68,56,11.3
99,Pevek,RU,2022-03-02 19:51:54,69.7008,170.3133,Overcast Clouds,-19.17,100,98,4.7
100,Yamada,JP,2022-03-02 19:51:54,39.4667,141.95,Broken Clouds,34.02,80,63,4.18
101,Banjar,ID,2022-03-02 19:51:55,-8.19,114.9675,Moderate Rain,78.66,94,89,3.91
102,Port Alfred,ZA,2022-03-02 19:51:55,-33.5906,26.891,Few Clouds,68.36,88,11,9.93
103,Souillac,MU,2022-03-02 19:51:55,-20.5167,57.5167,Light Rain,80.98,89,75,12.66
104,Shimoda,JP,2022-03-02 19:51:56,34.6667,138.95,Scattered Clouds,46.11,74,38,4.59
105,Nikolskoye,RU,2022-03-02 19:51:56,59.7035,30.7861,Overcast Clouds,34.88,91,99,4.03
106,Port Lincoln,AU,2022-03-02 19:51:57,-34.7333,135.8667,Broken Clouds,67.17,89,72,8.7
107,Tupik,RU,2022-03-02 19:51:57,54.4253,119.9327,Overcast Clouds,-2.72,95,100,3.04
108,Tuktoyaktuk,CA,2022-03-02 19:51:58,69.4541,-133.0374,Scattered Clouds,-5.8,65,40,19.57
109,Asau,RO,2022-03-02 19:51:58,46.4333,26.4,Overcast Clouds,31.95,95,97,4.05
110,Catamarca,AR,2022-03-02 19:51:59,-28.4696,-65.7852,Few Clouds,90.77,49,13,4.0
111,Lompoc,US,2022-03-02 19:51:59,34.6391,-120.4579,Clear Sky,84.02,26,0,5.99
112,Kaeo,NZ,2022-03-02 19:52:00,-35.1,173.7833,Overcast Clouds,67.32,80,100,17.94
113,Yakeshi,CN,2022-03-02 19:52:00,49.2833,120.7333,Scattered Clouds,-17.19,100,50,3.96
114,Port Said,EG,2022-03-02 19:52:01,31.2565,32.2841,Clear Sky,64.38,82,0,4.61
115,Okhotsk,RU,2022-03-02 19:52:01,59.3833,143.3,Overcast Clouds,0.73,73,100,14.92
116,Puerto Escondido,MX,2022-03-02 19:52:02,15.85,-97.0667,Clear Sky,86.13,53,5,7.31
117,Attingal,IN,2022-03-02 19:52:02,8.6833,76.8333,Overcast Clouds,78.48,62,100,6.29
118,Lagoa Santa,BR,2022-03-02 19:52:03,-19.6272,-43.8897,Scattered Clouds,86.41,46,40,5.75
119,Presidencia Roque Saenz Pena,AR,2022-03-02 19:52:03,-26.7852,-60.4388,Broken Clouds,93.33,44,82,4.59
120,Petropavlovskoye,RU,2022-03-02 19:52:04,52.0712,84.107,Broken Clouds,7.23,96,53,6.98
121,Vostok,RU,2022-03-02 19:52:04,46.4856,135.8833,Overcast Clouds,4.51,99,100,2.8
122,Penzance,GB,2022-03-02 19:52:05,50.1186,-5.5371,Moderate Rain,49.21,90,100,15.64
123,Porto Novo,BJ,2022-03-02 19:48:52,6.4965,2.6036,Overcast Clouds,84.02,80,93,8.75
124,Dzemul,MX,2022-03-02 19:52:05,21.2,-89.3,Broken Clouds,80.06,47,75,8.41
125,San Jeronimo,PE,2022-03-02 19:52:06,-11.9472,-75.2829,Overcast Clouds,56.05,72,94,6.89
126,Moindou,NC,2022-03-02 19:52:06,-21.6924,165.677,Broken Clouds,75.15,84,76,3.6
127,Saint-Francois,FR,2022-03-02 19:52:07,46.4154,3.9054,Broken Clouds,44.67,80,75,0.0
128,Nuevo Progreso,MX,2022-03-02 19:52:08,23.1667,-97.95,Broken Clouds,78.6,59,61,4.0
129,Lorengau,PG,2022-03-02 19:52:08,-2.0226,147.2712,Overcast Clouds,79.88,78,100,3.04
130,Filadelfia,US,2022-03-02 19:48:10,39.9523,-75.1638,Few Clouds,57.56,33,20,14.97
131,Petropavlovsk-Kamchatskiy,RU,2022-03-02 19:52:09,53.0452,158.6483,Broken Clouds,12.79,57,75,2.24
132,Te Anau,NZ,2022-03-02 19:52:10,-45.4167,167.7167,Overcast Clouds,52.81,78,93,0.72
133,Krasnyy Chikoy,RU,2022-03-02 19:53:10,50.3643,108.7512,Overcast Clouds,3.67,99,100,0.2
134,Uyemskiy,RU,2022-03-02 19:53:11,64.4743,40.8524,Few Clouds,28.45,79,20,6.71
135,Mitsamiouli,KM,2022-03-02 19:53:11,-11.3847,43.2844,Broken Clouds,81.93,73,76,9.31
136,Saint-Joseph,RE,2022-03-02 19:53:12,-21.3667,55.6167,Clear Sky,77.38,86,6,8.63
137,Pangnirtung,CA,2022-03-02 19:53:13,66.1451,-65.7125,Overcast Clouds,3.9,90,100,3.6
138,Jamestown,US,2022-03-02 19:50:13,42.097,-79.2353,Clear Sky,45.72,38,0,11.5
139,Port Shepstone,ZA,2022-03-02 19:53:13,-30.7414,30.455,Broken Clouds,75.78,87,72,22.95
140,Inverness,GB,2022-03-02 19:52:41,57.4791,-4.224,Broken Clouds,44.83,77,75,5.75
141,Cayenne,GF,2022-03-02 19:53:14,4.9333,-52.3333,Few Clouds,84.24,83,20,12.66
142,Kumluca,TR,2022-03-02 19:53:15,36.3703,30.2869,Overcast Clouds,54.39,85,87,15.43
143,Ballitoville,ZA,2022-03-02 19:53:15,-29.539,31.2144,Clear Sky,75.34,78,0,12.66
144,Dzaoudzi,YT,2022-03-02 19:53:16,-12.7887,45.2699,Clear Sky,82.29,78,0,9.22
145,Flinders,AU,2022-03-02 19:53:16,-34.5833,150.8552,Light Rain,70.21,94,96,8.99
146,Mancio Lima,BR,2022-03-02 19:53:17,-7.6142,-72.8958,Broken Clouds,80.67,83,75,3.44
147,Bredasdorp,ZA,2022-03-02 19:53:18,-34.5322,20.0403,Scattered Clouds,70.92,64,48,11.5
148,Butaritari,KI,2022-03-02 19:52:31,3.0707,172.7902,Moderate Rain,80.35,84,100,13.76
149,Jacareacanga,BR,2022-03-02 19:51:41,-6.2222,-57.7528,Overcast Clouds,79.97,91,100,2.93
150,Rio Gallegos,AR,2022-03-02 19:51:36,-51.6226,-69.2181,Light Rain,50.05,87,100,17.27
151,Namibe,AO,2022-03-02 19:53:19,-15.1961,12.1522,Overcast Clouds,74.95,80,100,6.8
152,Mishelevka,RU,2022-03-02 19:53:19,52.8575,103.1719,Overcast Clouds,18.27,77,93,11.3
153,Portoferraio,IT,2022-03-02 19:53:20,42.8115,10.3146,Clear Sky,51.58,75,0,4.61
154,Zhigansk,RU,2022-03-02 19:53:20,66.7697,123.3711,Overcast Clouds,-25.76,100,100,0.78
155,Bonthe,SL,2022-03-02 19:53:21,7.5264,-12.505,Overcast Clouds,78.78,74,96,8.46
156,Avera,US,2022-03-02 19:53:22,33.194,-82.5271,Clear Sky,80.26,24,0,7.43
157,Ribeira Grande,PT,2022-03-02 19:53:22,38.5167,-28.7,Few Clouds,59.4,51,20,8.05
158,Itarema,BR,2022-03-02 19:53:23,-2.9248,-39.9167,Broken Clouds,82.49,70,76,12.8
159,Scandiano,IT,2022-03-02 19:53:23,44.5965,10.6907,Overcast Clouds,44.92,42,100,2.57
160,Cabo San Lucas,MX,2022-03-02 19:53:00,22.8909,-109.9124,Few Clouds,89.51,52,24,5.99
161,Talnakh,RU,2022-03-02 19:53:24,69.4865,88.3972,Overcast Clouds,-20.79,99,100,5.44
162,Caravelas,BR,2022-03-02 19:53:24,-17.7125,-39.2481,Overcast Clouds,81.52,71,100,7.83
163,Castro,BR,2022-03-02 19:53:25,-24.7911,-50.0119,Overcast Clouds,71.92,86,99,5.82
164,Saint-Augustin,CA,2022-03-02 19:53:25,51.226,-58.6502,Snow,18.57,96,100,12.95
165,Iringa,TZ,2022-03-02 19:53:26,-7.7667,35.7,Light Rain,59.47,92,93,4.09
166,Saint-Philippe,RE,2022-03-02 19:53:27,-21.3585,55.7679,Clear Sky,78.39,88,8,8.19
167,Puerto Ayora,EC,2022-03-02 19:52:11,-0.7393,-90.3518,Overcast Clouds,84.16,85,88,8.99
168,Mantua,IT,2022-03-02 19:53:27,45.1667,10.7833,Overcast Clouds,48.81,59,100,1.72
169,Bubaque,GW,2022-03-02 19:52:30,11.2833,-15.8333,Overcast Clouds,76.3,75,100,21.32
170,Mar Del Plata,AR,2022-03-02 19:53:28,-38.0023,-57.5575,Scattered Clouds,71.62,70,40,14.0
171,Dikson,RU,2022-03-02 19:52:28,73.5069,80.5464,Overcast Clouds,-21.6,98,100,7.76
172,Waipawa,NZ,2022-03-02 19:53:29,-41.4122,175.5153,Scattered Clouds,51.93,69,27,1.95
173,Barrow,US,2022-03-02 19:53:29,71.2906,-156.7887,Overcast Clouds,-12.62,100,100,3.94
174,Hasaki,JP,2022-03-02 19:53:30,35.7333,140.8333,Overcast Clouds,41.4,86,100,17.54
175,Nizwa,OM,2022-03-02 19:53:30,22.9333,57.5333,Clear Sky,69.84,68,0,5.17
176,Calvia,ES,2022-03-02 19:54:31,39.5657,2.5062,Scattered Clouds,53.92,66,44,5.08
177,Yuncheng,CN,2022-03-02 19:54:31,35.0231,110.9928,Clear Sky,45.01,30,0,2.39
178,Ulladulla,AU,2022-03-02 19:54:32,-35.35,150.4667,Light Rain,68.9,91,89,13.69
179,Half Moon Bay,US,2022-03-02 19:54:32,37.4636,-122.4286,Clear Sky,74.16,73,0,13.8
180,Quatre Cocos,MU,2022-03-02 19:54:33,-20.2078,57.7625,Light Rain,80.71,87,62,14.81
181,Pleasanton,US,2022-03-02 19:52:49,37.6624,-121.8747,Clear Sky,73.17,55,0,3.44
182,Beringovskiy,RU,2022-03-02 19:54:33,63.05,179.3167,Light Snow,15.39,95,100,14.18
183,Bareli,IN,2022-03-02 19:54:34,28.35,79.4167,Clear Sky,58.44,54,0,6.42
184,Port-Cartier,CA,2022-03-02 19:54:34,50.0334,-66.8654,Light Snow,22.75,82,100,7.27
185,Katsuura,JP,2022-03-02 19:54:35,35.1333,140.3,Overcast Clouds,48.18,86,97,15.88
186,Amasia,TR,2022-03-02 19:54:35,40.6533,35.8331,Overcast Clouds,37.13,98,100,3.91
187,Amga,RU,2022-03-02 19:54:36,60.8953,131.9608,Overcast Clouds,-12.64,100,100,0.6
188,Lakes Entrance,AU,2022-03-02 19:54:36,-37.8811,147.981,Clear Sky,59.16,92,4,10.8
189,Nyrob,RU,2022-03-02 19:54:37,60.733,56.7202,Overcast Clouds,29.23,96,100,6.26
190,Broome,US,2022-03-02 19:54:37,42.2506,-75.833,Overcast Clouds,44.17,50,100,4.0
191,Soe,ID,2022-03-02 19:54:38,-9.8607,124.284,Broken Clouds,66.11,92,82,3.24
192,Codrington,AU,2022-03-02 19:54:38,-38.2667,141.9667,Clear Sky,63.68,85,2,6.58
193,Mahon,ES,2022-03-02 19:51:39,39.8885,4.2658,Few Clouds,54.16,76,20,10.36
194,Maturin,VE,2022-03-02 19:54:39,9.75,-63.1767,Scattered Clouds,86.07,60,38,9.26
195,Sola,VU,2022-03-02 19:54:39,-13.8833,167.55,Overcast Clouds,81.63,77,92,6.76
196,Kavaratti,IN,2022-03-02 19:54:39,10.5669,72.642,Overcast Clouds,82.27,65,99,10.04
197,Barcelona,ES,2022-03-02 19:53:21,41.3888,2.159,Few Clouds,56.57,89,20,9.22
198,Mangan,IN,2022-03-02 19:54:40,27.5167,88.5333,Clear Sky,53.44,61,5,6.51
199,Port Elizabeth,ZA,2022-03-02 19:54:41,-33.918,25.5701,Clear Sky,70.09,83,0,14.97
200,Kandrian,PG,2022-03-02 19:54:42,-6.2167,149.55,Overcast Clouds,76.3,86,100,4.21
201,Iquitos,PE,2022-03-02 19:54:42,-3.7481,-73.2472,Broken Clouds,77.04,88,75,2.3
202,Sucua,EC,2022-03-02 19:54:42,-2.4667,-78.1667,Light Rain,77.74,78,75,4.61
203,Guanica,PR,2022-03-02 19:54:43,17.9716,-66.908,Few Clouds,82.26,80,24,5.01
204,Bengkulu,ID,2022-03-02 19:54:43,-3.8004,102.2655,Broken Clouds,75.49,89,82,4.21
205,Port Augusta,AU,2022-03-02 19:54:44,-32.5,137.7667,Clear Sky,69.71,53,1,4.79
206,Vestmannaeyjar,IS,2022-03-02 19:54:44,63.4427,-20.2734,Overcast Clouds,42.1,63,100,20.87
207,Anadyr,RU,2022-03-02 19:54:44,64.75,177.4833,Overcast Clouds,-6.18,100,98,3.96
208,Buchanan,LR,2022-03-02 19:54:45,5.8808,-10.0467,Moderate Rain,76.96,85,100,5.19
209,Aripuana,BR,2022-03-02 19:54:45,-9.1667,-60.6333,Overcast Clouds,81.45,87,92,1.21
210,Formosa,AR,2022-03-02 19:54:46,-26.1775,-58.1781,Broken Clouds,91.38,49,75,13.8
211,Pisco,PE,2022-03-02 19:54:46,-13.7,-76.2167,Clear Sky,77.05,69,0,10.36
212,Fuyu,CN,2022-03-02 19:54:46,45.1833,124.8167,Overcast Clouds,2.97,100,89,5.66
213,Hare Bay,CA,2022-03-02 19:54:47,48.8499,-54.0148,Overcast Clouds,27.75,66,99,12.15
214,Rawson,AR,2022-03-02 19:50:51,-43.3002,-65.1023,Clear Sky,72.64,40,2,1.23
215,Ponta Do Sol,PT,2022-03-02 19:54:48,32.6667,-17.1,Few Clouds,66.0,79,23,2.1
216,Victoria,HK,2022-03-02 19:51:35,22.2855,114.1577,Overcast Clouds,67.96,83,92,15.99
217,Kalabo,ZM,2022-03-02 19:54:48,-14.97,22.6814,Light Rain,69.12,86,69,4.88
218,Nanortalik,GL,2022-03-02 19:54:49,60.1432,-45.2371,Snow,21.9,93,100,27.63
219,Abu Dhabi,AE,2022-03-02 19:52:19,24.4667,54.3667,Clear Sky,68.97,82,0,3.44
220,Hovd,MN,2022-03-02 19:54:49,48.0056,91.6419,Overcast Clouds,10.87,64,86,9.24
221,Sayat,TM,2022-03-02 19:54:50,38.7839,63.8803,Overcast Clouds,49.87,41,90,10.04
222,Iqaluit,CA,2022-03-02 19:54:50,63.7506,-68.5145,Overcast Clouds,-5.31,70,100,16.11
223,Luderitz,NA,2022-03-02 19:54:51,-26.6481,15.1594,Clear Sky,66.58,84,0,9.86
224,Kigoma,TZ,2022-03-02 19:55:51,-4.8769,29.6267,Light Rain,74.34,80,94,2.98
225,Albanel,CA,2022-03-02 19:55:51,48.8832,-72.4487,Overcast Clouds,15.78,48,100,12.66
226,Soyo,AO,2022-03-02 19:55:52,-6.1349,12.3689,Few Clouds,80.8,81,20,7.74
227,Ostrovnoy,RU,2022-03-02 19:55:52,68.0531,39.5131,Overcast Clouds,27.54,91,100,9.01
